Calculated time based on timestamp (s)	Scaled power ratio ~ reflectance
0	0.994789319428211
0.633098000004888	0.995891194721645
0.778445000000298	0.995668257518584
0.914852000005543	0.995857417520388
1.04740400000662	0.995576421586869
1.15838900000602	0.995735773058875
1.27594400000572	0.995523435500263
2.05566000000387	0.995172631414942
2.18493700000644	0.994267527478855
2.28743100000173	0.994391280530741
2.40595000000298	0.993676996754214
2.51088000000268	0.994663750014215
2.63436900000274	0.992922718416729
2.7506230000034	0.993616646679181
2.86213100000471	0.993719848633896
2.9622480000034	0.993267573260731
3.07490800000727	0.992105737950326
3.18777600000054	0.993139839596832
3.30945400000364	0.992936917161253
3.42283900000155	0.993460447412992
3.53851700000465	0.993599640916909
3.64916400000453	0.995272012965756
3.75840100000054	0.994975696137495
3.95169200000167	0.99494458332916
4.10603400000185	0.994409266169375
4.28246400000155	0.993806346401314
4.40248900000006	0.994980920447494
4.52005900000036	0.995313660485076
4.6217860000059	0.995454340375696
4.77007600000501	0.994512949172826
4.87304000000656	0.995417734696869
5.01822400000691	0.995485435467506
5.17000900000334	0.995516452876923
5.27516800000519	0.995578711889932
5.43068100000173	0.995043258600496
5.53441400000453	0.994872038053396
5.65893100000173	0.99499691373082
5.76865400000662	0.995396364165321
5.88606600000709	0.995458676255908
6.00465300000459	0.995582849642052
6.1123410000056	0.994178309716899
6.25305600000173	0.996007313021828
6.3993030000031	0.995328464334473
6.5254960000068	0.995018060771263
6.63098800000549	0.994672382739371
6.75942000000179	0.995398875719795
6.8640680000037	0.995854396827444
7.00552500000596	0.995243465889632
7.13062000000477	0.994888917238157
7.23471400000155	0.99580160030761
7.36145800000429	0.995531672817707
7.46609500000626	0.995945562149744
7.62886400000006	0.995988629280875
7.73259600000084	0.99517267862581
7.85489400000125	0.995322239343517
7.95842200000584	0.995639744278879
8.06529200000316	0.99529286371807
8.19691800000519	0.995812227415129
8.29910400000215	0.996096586067589
8.41479300000519	0.994565452946661
8.54231200000644	0.995520369547263
8.64823700000346	0.994654198125992
8.77861500000209	0.994982675963292
8.88359500000626	0.994057731543982
9.00295900000632	0.992978500909786
9.12540100000054	0.993522259355637
9.23564200000465	0.994074166827238
9.39552300000191	0.993540956589473
9.53323600000143	0.99206706660798
9.64726200000197	0.993175943016366
9.75831300000102	0.994702032521862
9.88295500000566	0.994841682694563
9.9878410000056	0.993945147395604
10.1210830000043	0.994748275553433
10.2279270000011	0.994613616564289
10.3371050000042	0.995686797090763
10.4502980000004	0.995582849642052
10.5808010000065	0.99504878300348
10.6850650000051	0.995956726934266
10.8130970000029	0.994888003476147
10.9182050000057	0.995287518838939
11.0705330000073	0.995858105259534
11.1815510000065	0.995225213653233
11.2982080000043	0.995956726934266
11.4108490000069	0.995588225711734
11.5252840000019	0.994986535252689
11.6484840000048	0.995251004723141
11.7544140000045	0.995582849642052
11.878951000005	0.99527694841007
11.9828070000038	0.995442704007697
12.1182580000013	0.995603000329393
12.2221420000047	0.995561429851427
12.3350680000037	0.99548862764644
12.4393300000057	0.995219702597364
12.5652560000047	0.995710687448111
12.6699790000021	0.994904814049595
12.8019670000002	0.995131982201601
12.9108670000061	0.994621661013032
13.0071970000044	0.995538910690577
13.1467680000067	0.995950166863062
13.2527530000061	0.995781208293876
13.3710910000056	0.996096949495988
13.4721980000064	0.996134714841812
13.6006850000024	0.996136983754088
13.7004970000014	0.995840930195574
13.8221070000008	0.995582911222539
13.921462000005	0.996402209657203
14.0490860000029	0.996285391582407
14.153875	0.995842848629272
14.2659090000019	0.996153913002589
14.3740300000012	0.995302224194229
14.4892270000055	0.995258977484853
14.602814000003	0.995844053358642
14.7104080000073	0.9948653785686
14.8170430000052	0.996205889076036
14.9307820000052	0.994098165287904
15.0363090000004	0.995433609014246
15.1548520000055	0.994512806200177
15.2649680000022	0.994309774758518
15.3715680000037	0.993354637679111
15.4869470000044	0.993984057771638
15.5961580000073	0.993797022150662
15.7045230000019	0.994001596248294
15.8163470000029	0.99310855642609
15.9267300000042	0.99348246827183
16.0394950000048	0.992353767991726
16.1581090000048	0.993743068075652
16.2673330000043	0.994212427430481
16.4063800000027	0.994485827875939
16.5273610000014	0.994485827875939
16.6858120000064	0.994785527861846
16.8156160000041	0.995555956049762
16.944438000001	0.995954101172223
17.0775800000057	0.995525110179276
17.3626410000026	0.996088770060029
17.5157470000014	0.995126636914538
17.6246340000033	0.996094371110032
17.7490020000041	0.99549418917907
17.8598710000068	0.995292341785352
18.008513000004	0.99522501756295
18.120875	0.995452470345833
18.2242720000073	0.995219702597364
18.4028420000002	0.995576212973162
18.5358300000057	0.996267970738392
18.6819970000014	0.995131982201601
18.7815810000002	0.995126850909421
18.9149800000042	0.995353700201987
19.0389090000019	0.995245251437654
19.198827000007	0.995070378667684
19.3386720000058	0.994890510078573
19.5279370000064	0.995991714827474
19.6779790000021	0.996790263012388
19.822700000003	0.995918054340962
19.9763740000054	0.996271063150348
20.1122220000029	0.995501296342354
20.2154530000016	0.996416601735877
20.3207230000049	0.995954310002854
20.4417320000008	0.995554391148043
20.8611970000044	0.99588098524874
21.104075000003	0.996000537873249
21.2986400000006	0.994856133784566
21.4151130000055	0.994638810533025
21.6156490000039	0.993367039723055
21.8995530000031	0.993464494227531
22.0498360000029	0.993487995516078
22.2664460000023	0.993084049970558
22.3659240000024	0.99342158191201
22.5271490000039	0.994664188306779
22.6356560000032	0.993983645313371
22.7925420000032	0.994322859858672
22.9114690000042	0.99531757624453
23.0103290000036	0.994523750211897
23.1290370000005	0.994394656020031
23.2333940000013	0.995719867236958
